Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
ENERGY QUEENSLAND LIMITED,Lockhart River Remote Generation,F,QLD,11532,3203,2157,0,2157,0.67,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Logan Hyperdome Solar Farm,F,QLD,21721,6034,0,0,0,0,Off,Off-grid,Solar,-
ENERGY QUEENSLAND LIMITED,Mabuig Island Remote Generation,F,QLD,4228,1174,868,0,868,0.74,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Mapoon Remote Generation,F,QLD,7021,1950,1245,0,1245,0.64,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Murray Island Remote Generation,F,QLD,7407,2057,1438,0,1438,0.7,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Palm Island Remote Generation,F,QLD,32987,9163,6433,0,6433,0.7,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Pormpuraaw,F,QLD,12256,3405,2302,0,2302,0.68,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Robina Shopping Centre Solar Farm,F,QLD,23465,6518,0,0,0,0,Off,Off-grid,Solar,-
ENERGY QUEENSLAND LIMITED,Sabai Island Remote Generation,F,QLD,6650,1847,1292,0,1292,0.7,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Stephen Island Remote Generation,F,QLD,2076,576,416,0,416,0.72,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Thursday Island Remote Generation,F,QLD,102796,28554,19012,0,19012,0.67,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Warraber Island Remote Generation,F,QLD,4504,1251,974,0,974,0.78,Off,Off-grid,Diesel,-
ENERGY QUEENSLAND LIMITED,Wasaga Remote Generation,F,QLD,17638,4899,3343,0,3343,0.68,Off,Off-grid,Diesel,-
